imdb_id	kind	reference_name
nm0000194	person	Julianne Moore
nm0000195	person	Bill Murray
nm0000197	person	Jack Nicholson
nm0000198	person	Gary Oldman
nm0000199	person	Al Pacino
nm0000201	person	Michelle Pfeiffer
nm0000203	person	River Phoenix
nm0000204	person	Natalie Portman
nm0000209	person	Tim Robbins
nm0000210	person	Julia Roberts
nm0000213	person	Winona Ryder
nm0000215	person	Susan Sarandon
nm0000217	person	Martin Scorsese
nm0000218	person	Kristin Scott Thomas
nm0000223	person	Elisabeth Shue
nm0000226	person	Will Smith
nm0000227	person	Mira Sorvino
nm0000228	person	Kevin Spacey
nm0000229	person	Steven Spielberg
nm0000230	person	Sylvester Stallone
nm0000231	person	Oliver Stone
nm0000232	person	Sharon Stone
nm0000233	person	Quentin Tarantino
nm0000234	person	Charlize Theron
nm0000235	person	Uma Thurman
nm0000236	person	Jennifer Tilly
nm0000237	person	John Travolta
nm0000242	person	Mark Wahlberg
nm0000243	person	Denzel Washington
nm0000244	person	Sigourney Weaver
nm0000245	person	Robin Williams
nm0000249	person	James Woods
nm0000250	person	Renée Zellweger
nm0000254	person	Isabelle Adjani
nm0000255	person	Ben Affleck
nm0000257	person	Alan Alda
nm0000260	person	Joan Allen
nm0000264	person	Pedro Almodóvar
nm0000265	person	Robert Altman
nm0000267	person	Julie Andrews
nm0000268	person	Ann-Margret
nm0000271	person	Anne Archer
nm0000273	person	Alan Arkin
nm0000276	person	Sean Astin
nm0000277	person	Richard Attenborough
nm0000285	person	Alec Baldwin
nm0000288	person	Christian Bale
nm0000290	person	John Barry
nm0000291	person	Angela Bassett
nm0000297	person	Tom Berenger
nm0000298	person	Candice Bergen
nm0000300	person	Juliette Binoche
nm0000304	person	Linda Blair
nm0000307	person	Helena Bonham Carter
nm0000308	person	Ernest Borgnine
nm0000313	person	Jeff Bridges
nm0000316	person	Mel Brooks
nm0000318	person	Tim Burton
nm0000320	person	Luis Buñuel
nm0000323	person	Michael Caine
nm0000329	person	Jackie Chan
nm0000330	person	Stockard Channing
nm0000332	person	Don Cheadle
nm0000333	person	Cher
nm0000335	person	Glenn Close
nm0000336	person	James Coburn
nm0000338	person	Francis Ford Coppola
nm0000339	person	Roger Corman
nm0000341	person	Michael Crichton
nm0000342	person	James Cromwell
nm0000348	person	Tony Curtis
nm0000349	person	Joan Cusack
nm0000353	person	Willem Dafoe
nm0000354	person	Matt Damon
nm0000358	person	Daniel Day-Lewis
nm0000362	person	Danny DeVito
nm0000365	person	Julie Delpy
nm0000366	person	Catherine Deneuve
nm0000367	person	Gérard Depardieu
nm0000368	person	Laura Dern
nm0000369	person	Matt Dillon
nm0000370	person	Walt Disney
nm0000374	person	Brad Dourif
nm0000375	person	Robert Downey Jr.
nm0000377	person	Richard Dreyfuss
nm0000378	person	Minnie Driver
nm0000379	person	Kirsten Dunst
nm0000380	person	Robert Duvall
nm0000382	person	Atom Egoyan
nm0000384	person	Danny Elfman
nm0000385	person	Sam Elliott
nm0000393	person	Peter Falk
nm0000398	person	Sally Field
nm0000399	person	David Fincher
nm0000401	person	Laurence Fishburne
nm0000404	person	Jane Fonda
nm0000406	person	John Ford
nm0000409	person	Brendan Fraser
nm0000412	person	Andy Garcia
nm0000414	person	Teri Garr
nm0000416	person	Terry Gilliam
nm0000418	person	Danny Glover
nm0000419	person	Jean-Luc Godard
nm0000421	person	Cuba Gooding Jr.
nm0000428	person	D. W. Griffith
nm0000429	person	Melanie Griffith
nm0000431	person	Taylor Hackford
nm0000432	person	Gene Hackman
nm0000436	person	Curtis Hanson
nm0000437	person	Woody Harrelson
nm0000438	person	Ed Harris
nm0000443	person	Goldie Hawn
nm0000446	person	Mariel Hemingway
nm0000450	person	Philip Seymour Hoffman
nm0000453	person	Ian Holm
nm0000454	person	Dennis Hopper
nm0000456	person	Holly Hunter
nm0000457	person	John Hurt
nm0000458	person	William Hurt
nm0000459	person	Timothy Hutton
nm0000460	person	Jeremy Irons
nm0000466	person	Jean-Pierre Jeunet
nm0000469	person	James Earl Jones
nm0000473	person	Diane Keaton
nm0000474	person	Michael Keaton
nm0000476	person	Sally Kirkland
nm0000487	person	Ang Lee
nm0000490	person	Spike Lee
nm0000492	person	Jennifer Jason Leigh
nm0000493	person	Jack Lemmon
nm0000496	person	Juliette Lewis
nm0000500	person	Richard Linklater
nm0000511	person	Shirley MacLaine
nm0000513	person	William H. Macy
nm0000515	person	Virginia Madsen
nm0000517	person	Terrence Malick
nm0000518	person	John Malkovich
nm0000519	person	David Mamet
nm0000520	person	Michael Mann
nm0000527	person	Walter Matthau
nm0000531	person	Frances McDormand
nm0000537	person	Steve McQueen
nm0000541	person	Bette Midler
nm0000543	person	Sal Mineo
nm0000545	person	Helen Mirren
nm0000552	person	Eddie Murphy
nm0000553	person	Liam Neeson
nm0000560	person	Nick Nolte
nm0000564	person	Peter O'Toole
nm0000565	person	Lena Olin
nm0000569	person	Gwyneth Paltrow
nm0000570	person	Alan Parker
nm0000573	person	Dolly Parton
nm0000576	person	Sean Penn
nm0000578	person	Anthony Perkins
nm0000581	person	Joseph L. Mankiewicz
nm0000582	person	Joe Pesci
nm0000583	person	Wolfgang Petersen
nm0000591	person	Roman Polanski
nm0000592	person	Pete Postlethwaite
nm0000596	person	Jonathan Pryce
nm0000599	person	Kathleen Quinlan
nm0000602	person	Robert Redford
nm0000603	person	Vanessa Redgrave
nm0000604	person	John C. Reilly
nm0000608	person	Burt Reynolds
nm0000616	person	Eric Roberts
nm0000618	person	Isabella Rossellini
nm0000619	person	Tim Roth
nm0000620	person	Mickey Rourke
nm0000626	person	John Sayles
nm0000631	person	Ridley Scott
nm0000634	person	Peter Sellers
nm0000641	person	Gary Sinise
nm0000651	person	Sissy Spacek
nm0000654	person	Terence Stamp
nm0000657	person	David Strathairn
nm0000658	person	Meryl Streep
nm0000659	person	Barbra Streisand
nm0000661	person	Donald Sutherland
nm0000668	person	Emma Thompson
nm0000671	person	Billy Bob Thornton
nm0000672	person	Meg Tilly
nm0000673	person	Marisa Tomei
nm0000678	person	Kathleen Turner
nm0000685	person	Jon Voight
nm0000686	person	Christopher Walken
nm0000690	person	Lesley Ann Warren
nm0000693	person	Peter Weller
nm0000694	person	Wim Wenders
nm0000697	person	Billy Wilder
nm0000698	person	Gene Wilder
nm0000700	person	Debra Winger
nm0000701	person	Kate Winslet
nm0000702	person	Reese Witherspoon
nm0000706	person	Michelle Yeoh
nm0000709	person	Robert Zemeckis
nm0000710	person	David Raksin
nm0000711	person	Rick Baker
nm0000719	person	F. Murray Abraham
nm0000729	person	Casey Affleck
nm0000731	person	Brian Aherne
nm0000732	person	Danny Aiello
nm0000733	person	Anouk Aimée
nm0000734	person	Eddie Albert
nm0000737	person	Jane Alexander
nm0000739	person	Debbie Allen
nm0000740	person	Irwin Allen
nm0000743	person	Néstor Almendros
nm0000747	person	Don Ameche
nm0000752	person	Judith Anderson
nm0000759	person	Paul Thomas Anderson
nm0000774	person	Michelangelo Antonioni
nm0000780	person	Denys Arcand
nm0000781	person	Eve Arden
nm0000791	person	Jack Arnold
nm0000795	person	Jean Arthur
nm0000797	person	Hal Ashby
nm0000802	person	Mary Astor
nm0000810	person	Gene Autry
nm0000812	person	Roger Avary
nm0000814	person	John G. Avildsen
nm0000817	person	Lew Ayres
nm0000820	person	Burt Bacharach
nm0000825	person	Mary Badham
nm0000829	person	Stuart Baird
nm0000837	person	Bob Balaban
nm0000841	person	Michael Ballhaus
nm0000842	person	Martin Balsam
nm0000843	person	Anne Bancroft
nm0000846	person	Ian Bannen
nm0000849	person	Javier Bardem
nm0000856	person	Ethel Barrymore
nm0000859	person	Lionel Barrymore
nm0000864	person	Mikhail Baryshnikov
nm0000866	person	Saul Bass
nm0000869	person	Alan Bates
nm0000870	person	Kathy Bates
nm0000876	person	Noah Baumbach
nm0000879	person	Anne Baxter
nm0000885	person	Ned Beatty
nm0000886	person	Warren Beatty
nm0000891	person	Wallace Beery
nm0000895	person	Barbara Bel Geddes
nm0000896	person	Harry Belafonte
nm0000897	person	Ralph Bellamy
nm0000904	person	William Bendix
nm0000905	person	Roberto Benigni
nm0000906	person	Annette Bening
nm0000914	person	Robert Benton
nm0000915	person	Bruce Beresford
nm0000923	person	Busby Berkeley
nm0000927	person	Irving Berlin
nm0000930	person	Elmer Bernstein
nm0000932	person	Halle Berry
nm0000934	person	Bernardo Bertolucci
nm0000939	person	Adrian Biddle
nm0000941	person	Kathryn Bigelow
nm0000942	person	Theodore Bikel
nm0000947	person	Karen Black
nm0000949	person	Cate Blanchett
nm0000950	person	Brenda Blethyn
nm0000951	person	Joan Blondell
nm0000953	person	Peter Bogdanovich
nm0000954	person	Jon Bon Jovi
nm0000958	person	John Boorman
nm0000964	person	Charles Boyer
nm0000965	person	Danny Boyle
nm0000966	person	Lorraine Bracco
nm0000974	person	Walter Brennan
nm0000976	person	Martin Brest
nm0000980	person	Jim Broadbent
nm0000982	person	Josh Brolin
nm0000983	person	Albert Brooks
nm0000985	person	James L. Brooks
nm0000988	person	Jerry Bruckheimer
nm0000989	person	Yul Brynner
nm0000991	person	Geneviève Bujold
